nohup: ignoring input
Grasp Efnb2 0.26872246696
Grasp Rhoc 0.226600985222
Grasp Braf 0.224909310762
Grasp Scrib 0.167564332735
Grasp Grin2d 0.199551569507
Grasp Grik5 0.224775224775
Grasp Htr3a 0.271186440678
Grasp Mapk14 0.27293064877
Grasp Prkacb 0.274390243902
Grasp App 0.23537414966
Grasp Prkaca 0.261241970021
Grasp Cav1 0.204433497537
Grasp Rhoa 0.227272727273
Grasp Pten 0.246548323471
Grasp Camk1g 0.273244781784
Grasp Nos2 0.201198630137
Grasp Dlg4 0.242343541944
Grasp Cacng2 0.270022883295
Grasp Calm3 0.194029850746
Grasp Ifngr1 0.272072072072
Grasp Mdm2 0.247272727273
Grasp Dbnl 0.281553398058
Grasp Nrcam 0.194006309148
Grasp Fkbp1b 0.168341708543
Grasp Cacng4 0.275229357798
Grasp Ryr2 0.0747080144986
Grasp Nefl 0.257575757576
Grasp Adcy8 0.189297124601
Grasp Pde1b 0.267702936097
Grasp Arc 0.271255060729
Grasp Mylk 0.148469387755
Grasp Ifngr2 0.267281105991
Grasp Hsp90ab1 0.228835978836
Grasp Cnih2 0.188442211055
Grasp Sacm1l 0.265210608424
Grasp Hras 0.222772277228
Grasp Phkg1 0.275109170306
Grasp Gria4 0.227027027027
Grasp Zap70 0.250759878419
Grasp Olfm1 0.264705882353
Grasp Grin1 0.226750261233
Grasp Scn2a1 0.138446215139
Grasp Lin7c 0.235
Grasp Mylk2 0.268404907975
Grasp Src 0.286449399657
Grasp Nras 0.216957605985
Grasp Casq2 0.258585858586
Grasp Slc9a1 0.223416965352
Grasp Grik3 0.230277185501
Grasp Cdk5 0.263279445727
Grasp Nos3 0.199835526316
Grasp Atp2a2 0.206020696143
Grasp Itpr1 0.117090909091
Grasp Kras 0.21975308642
Grasp Camk1 0.269565217391
Grasp Phkg2 0.280561122244
Grasp Ptpn5 0.272572402044
Grasp Phka2 0.193548387097
Grasp Acta1 0.276955602537
Grasp Olfm2 0.282352941176
Grasp Rasgrf1 0.188235294118
Grasp Dapk2 0.268085106383
Grasp Myo6 0.183176100629
Grasp Camk1d 0.27463312369
Grasp Fkbp1a 0.167088607595
Grasp Grm1 0.196207749382
Grasp Lyn 0.272566371681
Grasp Map3k7 0.255384615385
Grasp Nrn1 0.206549118388
Grasp Rras 0.252427184466
Grasp Gria1 0.223655913978
Grasp Akap9 0.0870600688013
Grasp Camk4 0.261818181818
Grasp Lrfn2 0.234857849197
Grasp Grin3b 0.226341463415
Grasp Calm2 0.194029850746
Grasp Phkb 0.201451905626
Grasp Eps8 0.226107226107
Grasp Nlgn2 0.235362997658
Grasp Ppp3ca 0.263066202091
Grasp Abhd12 0.285132382892
Grasp Adam22 0.223103057758
Grasp Neto1 0.261780104712
Grasp Vwc2l 0.22113022113
Grasp Llgl1 0.217757009346
Grasp Olfm3 0.261770244821
Grasp Phka1 0.191791633781
Grasp Cit 0.140087251575
Grasp Grin2b 0.168674698795
Grasp Kcnq3 0.231026785714
Grasp Ifng 0.186397984887
Grasp Adam10 0.234234234234
Grasp Dlg1 0.21858500528
Grasp Jak2 0.200174064404
Grasp Nlgn3 0.239904988124
Grasp Stat1 0.232051282051
Grasp Rhob 0.221674876847
Grasp Actn2 0.20989010989
Grasp Kcnn2 0.222863741339
Grasp Syp 0.266365688488
Grasp Cpt1c 0.233009708738
Grasp Shisa6 0.275438596491
Grasp Camk2g 0.251308900524
Grasp Grik1 0.230349344978
Grasp Yes1 0.271959459459
Grasp Hsf1 0.270134228188
Grasp Nlgn1 0.221320973349
Grasp Gria2 0.221975582686
Grasp Cav3 0.19746835443
Grasp Gria3 0.223322332233
Grasp Grin3a 0.206896551724
Grasp Map2 0.268022181146
Grasp Dapk1 0.175365344468
Grasp Porcn 0.265306122449
Grasp Calml3 0.198492462312
Grasp Asph 0.237419354839
Grasp Ppp3cc 0.261862917399
Grasp Kcnh1 0.214003944773
Grasp Apc 0.111541168191
Grasp Ntrk2 0.232227488152
Grasp Htt 0.10730301089
Grasp Rac1 0.232673267327
Grasp Syngap1 0.184365781711
Grasp Cacng3 0.26423690205
Grasp Slc17a7 0.259075907591
Grasp Lgi1 0.24584717608
Grasp Dlg3 0.2375
Grasp Mapk12 0.28085106383
Grasp Ncald 0.231343283582
Grasp Ryr3 0.0765139116203
Grasp Camkk1 0.284946236559
Grasp Hsp90aa1 0.224383916991
Grasp Map1a 0.111000662691
Grasp Akap5 0.241730279898
Grasp Trdn 0.219444444444
Grasp Rasgrf2 0.193228736581
Grasp Fyn 0.266553480475
Grasp Fgf12 0.252427184466
Grasp Kif13b 0.150974025974
Grasp Llgl2 0.217267552182
Grasp Plcg1 0.185692541857
Grasp Epb4.1l1 0.23289183223
Grasp Trpv1 0.2331002331
