Hsp60C CG31740 1.0 58
CG33506 U3-55K 1.0 118
CG2875 CG13096 0.9669578 120
nop5 CG12325 0.9668233 120
nop5 Nop56 0.9668226 120
CG12325 Nop56 0.96680194 120
nop5 CG5728 0.9667867 120
nop5 CG7728 0.9667706 120
CG12325 CG5728 0.9667663 120
CG5728 Nop56 0.9667654 120
nop5 CG1671 0.9667521 120
CG7728 CG12325 0.9667517 120
CG7728 Nop56 0.9667487 120
nop5 CG9799 0.96674204 120
CG12325 CG1671 0.9667332 120
nop5 l(3)72Dn 0.96673316 120
CG1671 Nop56 0.96672976 120
CG1671 CG5728 0.9667277 120
CG12325 CG9799 0.9667236 120
nop5 l(2)k09022 0.9667232 120
CG9799 Nop56 0.96671975 120
nop5 CG13097 0.96671677 120
nop5 l(3)07882 0.9667157 120
CG12325 l(3)72Dn 0.9667149 120
CG7728 CG5728 0.96671385 120
l(3)72Dn Nop56 0.96671116 120
nop5 wcd 0.96670806 120
nop5 CG8064 0.9667074 120
CG12325 l(2)k09022 0.9667046 120
l(2)k09022 Nop56 0.96670353 120
CG12325 CG13097 0.9666976 120
CG12325 l(3)07882 0.96669704 120
l(3)07882 Nop56 0.96669406 120
CG13097 Nop56 0.96669394 120
CG12325 wcd 0.9666895 120
CG12325 CG8064 0.9666882 120
wcd Nop56 0.9666867 120
CG8064 Nop56 0.96668565 120
CG9799 CG5728 0.9666843 120
CG7728 CG1671 0.9666816 120
CG5728 l(3)72Dn 0.9666763 120
CG7728 CG9799 0.966672 120
l(2)k09022 CG5728 0.9666669 120
nop5 bys 0.966664 120
CG7728 l(3)72Dn 0.9666634 120
CG13097 CG5728 0.9666588 120
CG5728 l(3)07882 0.9666587 120
nop5 CG12301 0.96665794 120
nop5 CG30349 0.96665657 120
CG9799 CG1671 0.9666549 120
CG2875 Nop56 0.96665275 120
CG7728 l(2)k09022 0.96665156 120
CG5728 wcd 0.966651 120
CG8064 CG5728 0.9666502 120
CG7728 CG13097 0.96664625 120
CG7728 l(3)07882 0.96664613 120
CG12325 bys 0.9666453 120
nop5 CG11920 0.9666452 120
CG1671 l(3)72Dn 0.96664494 120
nop5 CG2875 0.96664196 120
bys Nop56 0.9666414 120
CG30349 CG12325 0.9666384 120
CG7728 wcd 0.96663684 120
CG12301 Nop56 0.9666366 120
CG30349 Nop56 0.96663606 120
CG7728 CG8064 0.96663606 120
CG9799 l(3)72Dn 0.96663564 120
l(2)k09022 CG1671 0.9666325 120
nop5 CG2260 0.96662986 120
CG13097 CG1671 0.96662843 120
CG1671 l(3)07882 0.9666271 120
l(2)k09022 CG9799 0.9666236 120
CG12325 CG2875 0.96662307 120
nop5 CG7246 0.96662205 120
CG1671 wcd 0.9666187 120
CG9799 CG13097 0.9666187 120
CG8064 CG1671 0.9666179 120
CG9799 l(3)07882 0.9666174 120
l(2)k09022 l(3)72Dn 0.9666152 120
CG9799 wcd 0.9666097 120
CG1671 bys 0.96660966 120
CG13097 l(3)72Dn 0.9666093 120
CG9799 CG8064 0.96660876 120
l(3)72Dn l(3)07882 0.9666084 120
bys CG5728 0.9666059 120
CG12325 CG12301 0.96660584 120
CG12325 CG7246 0.9666055 120
CG7728 CG2875 0.96660423 120
CG7246 Nop56 0.9666012 120
CG30349 CG5728 0.9666007 120
wcd l(3)72Dn 0.96660066 120
CG8064 l(3)72Dn 0.9665997 120
l(2)k09022 l(3)07882 0.9665971 120
l(2)k09022 CG13097 0.96659607 120
CG7728 bys 0.9665952 120
CG13097 l(3)07882 0.9665921 120
l(2)k09022 wcd 0.9665909 120
bys l(3)72Dn 0.9665906 120
CG11920 CG12325 0.96659 120
l(2)k09022 CG8064 0.9665887 120
CG30349 CG7728 0.96658796 120
CG11920 Nop56 0.96658736 120
nop5 CG3071 0.96658504 120
CG11920 CG5728 0.96658444 120
CG2875 CG5728 0.9665843 120
wcd l(3)07882 0.9665839 120
CG13097 wcd 0.96658355 120
CG13097 CG8064 0.96658266 120
CG8064 l(3)07882 0.9665822 120
CG2260 CG12325 0.96657926 120
l(2)k09022 bys 0.96657676 120
CG8064 wcd 0.9665753 120
CG13097 bys 0.9665751 120
CG2260 Nop56 0.9665748 120
CG2260 CG5728 0.96657246 120
CG11920 CG7728 0.96656984 120
CG12325 CG3071 0.9665695 120
CG1671 CG7338 0.9665685 120
CG12301 CG5728 0.96656746 120
CG30349 CG1671 0.966567 120
CG9799 bys 0.9665668 120
CG7246 CG5728 0.9665652 120
CG3071 Nop56 0.96656483 120
CG3071 CG5728 0.966562 120
CG9799 CG12301 0.96655804 120
CG30349 CG9799 0.966558 120
CG7728 CG12301 0.9665545 120
CG2875 CG1671 0.96655375 120
nop5 CG12050 0.9665532 120
CG7728 CG7246 0.9665527 120
CG2875 CG13097 0.966552 120
CG30349 l(3)72Dn 0.9665498 120
CG2875 CG9799 0.96654433 120
CG30349 l(2)k09022 0.96654 120
bys l(3)07882 0.96653986 120
CG12325 CG12050 0.9665368 120
CG1671 CG7246 0.96653533 120
CG1671 CG12301 0.966535 120
CG2875 l(3)72Dn 0.96653473 120
CG12050 Nop56 0.96653324 120
l(1)G0020 CG7338 0.9665324 120
CG30349 l(3)07882 0.96653163 120
CG30349 CG13097 0.96653163 120
bys wcd 0.9665311 120
CG8064 bys 0.9665304 120
CG9799 CG7246 0.9665266 120
CG2260 CG7728 0.96652615 120
CG30349 wcd 0.9665238 120
CG30349 CG8064 0.9665228 120
l(2)k09022 CG2875 0.966522 120
CG11920 CG1671 0.9665208 120
CG11920 l(2)k09022 0.9665202 120
CG7246 l(3)72Dn 0.96651864 120
CG12301 l(3)72Dn 0.9665182 120
CG7728 CG3071 0.9665173 120
CG2875 l(3)07882 0.96651715 120
CG11920 CG9799 0.9665105 120
CG2260 CG1671 0.96650976 120
CG2875 wcd 0.96650976 120
CG2875 CG8064 0.9665083 120
l(2)k09022 CG7246 0.96650696 120
l(2)k09022 CG12301 0.9665053 120
CG12325 CG7338 0.96650517 120
CG2260 CG9799 0.9665011 120
CG13097 CG12301 0.9665009 120
CG13097 CG7246 0.9665002 120
CG7246 l(3)07882 0.96650004 120
CG12301 l(3)07882 0.9664997 120
CG3071 CG1671 0.9664996 120
CG11920 l(3)72Dn 0.96649915 120
CG12050 CG5728 0.966497 120
CG7246 wcd 0.96649414 120
